sample_id	filename	subject_id	species	pcr_target_locus	tissue	sex	age	biomaterial_provider	single_cell	time_point
1829-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/1829-LI-5/vdj_t/airr_rearrangement.tsv	s1829	human	TR	blood	NA	NA	peters_lab	TRUE	D7
4655-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/4655-LI-2/vdj_t/airr_rearrangement.tsv	s4655	human	TR	blood	NA	NA	peters_lab	TRUE	D0
4655-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/4655-LI-5/vdj_t/airr_rearrangement.tsv	s4655	human	TR	blood	NA	NA	peters_lab	TRUE	D7
7802-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/7802-LI-2/vdj_t/airr_rearrangement.tsv	s7802	human	TR	blood	NA	NA	peters_lab	TRUE	D0
7802-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/7802-LI-5/vdj_t/airr_rearrangement.tsv	s7802	human	TR	blood	NA	NA	peters_lab	TRUE	D7
8873-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/8873-LI-2/vdj_t/airr_rearrangement.tsv	s8873	human	TR	blood	NA	NA	peters_lab	TRUE	D0
8873-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/8873-LI-5/vdj_t/airr_rearrangement.tsv	s8873	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9315-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9315-LI-2/vdj_t/airr_rearrangement.tsv	s9315	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9315-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9315-LI-5/vdj_t/airr_rearrangement.tsv	s9315	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9320-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9320-LI-2/vdj_t/airr_rearrangement.tsv	s9320	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9320-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9320-LI-5/vdj_t/airr_rearrangement.tsv	s9320	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9331-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9331-LI-2/vdj_t/airr_rearrangement.tsv	s9331	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9331-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9331-LI-5/vdj_t/airr_rearrangement.tsv	s9331	human	TR	blood	NA	NA	peters_lab	TRUE	D7
9553-LI-2-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9553-LI-2/vdj_t/airr_rearrangement.tsv	s9553	human	TR	blood	NA	NA	peters_lab	TRUE	D0
9553-LI-5-G1	/vast/palmer/pi/kleinstein/bhs27/CMI-Flu/dataset/aim3/gem1/9553-LI-5/vdj_t/airr_rearrangement.tsv	s9553	human	TR	blood	NA	NA	peters_lab	TRUE	D7
